age,duration,amount,savings,employment,credit_history,purpose,housing,existing_credits,target
64,24,7991,little,1-4yr,critical,other,own,2,0
52,60,13518,little,4-7yr,existing_paid,other,own,2,1
31,60,1540,little,<1yr,paid,furniture,rent,1,0
34,60,9609,quite_rich,4-7yr,existing_paid,car,own,2,1
53,48,8573,little,1-4yr,existing_paid,business,rent,1,0
67,48,9577,quite_rich,1-4yr,existing_paid,other,own,1,1
57,12,3252,none,>7yr,existing_paid,car,rent,1,1
21,24,8713,rich,1-4yr,critical,business,rent,2,0
19,60,5069,little,1-4yr,critical,furniture,own,2,0
23,48,11883,none,1-4yr,delayed,education,own,1,0
71,12,6853,none,>7yr,existing_paid,repairs,own,2,1
59,36,2853,moderate,<1yr,critical,repairs,rent,1,0
21,12,7937,moderate,1-4yr,existing_paid,furniture,rent,2,1
71,48,5299,quite_rich,unemployed,critical,other,own,4,0
46,18,1186,none,unemployed,critical,car,own,2,1
35,18,8976,none,>7yr,critical,education,own,3,0
43,60,5311,moderate,4-7yr,existing_paid,business,rent,4,1
61,18,12439,little,1-4yr,existing_paid,furniture,own,2,1
51,60,9454,little,4-7yr,existing_paid,education,own,2,0
27,60,5846,rich,1-4yr,critical,education,own,3,0
53,48,5543,rich,>7yr,no_credits,other,own,1,1
31,18,2928,rich,>7yr,critical,business,rent,1,1
48,60,11199,quite_rich,1-4yr,existing_paid,education,own,4,1
65,24,5626,little,>7yr,existing_paid,other,free,2,0
32,36,8720,little,4-7yr,existing_paid,car,own,1,1
25,12,9598,moderate,1-4yr,no_credits,other,own,2,0
31,12,11796,quite_rich,1-4yr,existing_paid,car,free,3,1
40,48,8313,none,1-4yr,existing_paid,car,rent,2,0
74,18,14914,little,4-7yr,critical,education,rent,2,0
57,18,12691,none,>7yr,existing_paid,other,own,3,1
38,60,11686,moderate,4-7yr,existing_paid,car,own,2,1
33,6,11198,quite_rich,>7yr,delayed,business,rent,2,0
62,60,13357,quite_rich,4-7yr,critical,education,own,2,1
35,36,14794,little,>7yr,critical,other,own,2,0
64,24,12301,rich,4-7yr,paid,other,rent,2,0
70,12,12245,moderate,1-4yr,critical,repairs,rent,1,0
41,60,10145,none,4-7yr,critical,other,rent,2,0
43,6,13525,little,>7yr,existing_paid,education,rent,4,0
42,6,3856,little,unemployed,paid,business,rent,1,0
62,60,9207,none,>7yr,existing_paid,other,own,1,1
58,48,14788,rich,<1yr,existing_paid,repairs,own,2,1
46,12,7766,little,1-4yr,critical,education,free,3,0
32,48,7040,quite_rich,>7yr,existing_paid,car,own,1,1
62,24,538,little,1-4yr,critical,furniture,own,1,0
18,6,3842,none,1-4yr,existing_paid,furniture,own,1,1
42,6,9578,little,1-4yr,existing_paid,car,own,2,1
24,36,3344,none,>7yr,existing_paid,other,free,1,0
26,24,10896,little,unemployed,existing_paid,furniture,own,1,0
41,6,1598,rich,>7yr,critical,furniture,own,2,1
18,24,7527,moderate,<1yr,critical,car,own,3,0
61,12,2323,moderate,>7yr,existing_paid,other,rent,2,1
25,18,11893,none,>7yr,existing_paid,other,own,1,1
41,6,14498,none,1-4yr,no_credits,car,own,2,0
28,36,13761,none,1-4yr,delayed,other,rent,4,0
68,12,3655,moderate,1-4yr,paid,other,own,2,1
34,60,3593,none,4-7yr,existing_paid,education,own,4,1
25,24,12222,little,<1yr,existing_paid,education,own,3,0
52,60,6158,moderate,unemployed,critical,car,own,1,0
52,48,4278,little,<1yr,existing_paid,business,rent,2,0
50,12,3396,none,1-4yr,existing_paid,furniture,own,1,1
22,60,12145,little,1-4yr,delayed,education,rent,2,0
59,6,12203,rich,4-7yr,existing_paid,furniture,own,1,1
56,24,1488,moderate,>7yr,existing_paid,repairs,own,1,1
58,18,4616,little,1-4yr,critical,car,free,4,0
45,12,6946,none,4-7yr,critical,business,own,1,1
24,6,13656,rich,1-4yr,existing_paid,repairs,own,3,1
26,36,12718,moderate,>7yr,existing_paid,repairs,own,1,1
25,48,4679,little,>7yr,existing_paid,other,own,1,1
29,24,2182,quite_rich,>7yr,critical,repairs,free,3,0
51,12,14764,little,>7yr,paid,car,own,2,1
50,12,14198,moderate,unemployed,delayed,education,rent,2,0
65,18,6126,moderate,>7yr,delayed,car,free,1,1
72,18,7924,little,4-7yr,existing_paid,education,own,2,1
40,36,13357,rich,1-4yr,delayed,repairs,own,2,1
41,48,12655,moderate,>7yr,critical,repairs,own,2,1
54,36,1433,moderate,<1yr,paid,business,rent,2,0
52,6,4098,none,4-7yr,existing_paid,education,own,4,1
61,6,11925,none,1-4yr,existing_paid,repairs,rent,2,0
57,36,2480,little,1-4yr,critical,other,own,4,0
39,48,10547,quite_rich,4-7yr,critical,furniture,rent,2,0
44,36,3556,little,4-7yr,existing_paid,business,own,2,1
52,48,9484,moderate,1-4yr,critical,car,rent,1,0
18,48,1291,moderate,1-4yr,existing_paid,business,own,1,0
52,60,10501,none,>7yr,existing_paid,furniture,own,3,0
54,24,5890,moderate,<1yr,existing_paid,education,own,1,0
64,48,7135,none,1-4yr,existing_paid,car,own,1,0
31,18,2755,rich,>7yr,existing_paid,car,rent,1,1
20,48,4110,little,>7yr,existing_paid,education,own,1,1
18,48,2107,none,1-4yr,no_credits,business,own,4,0
22,48,5679,little,4-7yr,critical,repairs,free,3,0
43,60,7073,little,>7yr,existing_paid,business,own,2,1
72,60,1484,quite_rich,>7yr,existing_paid,furniture,own,1,1
31,6,6276,moderate,1-4yr,existing_paid,other,rent,2,0
56,60,4176,moderate,1-4yr,critical,repairs,own,2,1
44,18,3880,none,1-4yr,existing_paid,business,rent,4,0
26,18,9211,none,1-4yr,existing_paid,other,own,2,0
32,60,9282,none,4-7yr,critical,other,own,1,0
32,36,1550,moderate,unemployed,existing_paid,education,rent,2,1
43,24,14497,quite_rich,4-7yr,existing_paid,furniture,free,4,1
59,60,4133,little,1-4yr,critical,furniture,own,2,0
30,48,14823,none,1-4yr,paid,furniture,free,2,0
68,12,6842,moderate,>7yr,existing_paid,repairs,own,1,1
49,24,13136,quite_rich,1-4yr,existing_paid,car,own,2,1
56,24,1459,moderate,<1yr,existing_paid,repairs,rent,3,1
66,18,6559,quite_rich,>7yr,existing_paid,business,own,1,1
69,24,9384,little,unemployed,existing_paid,other,own,2,0
49,60,6155,none,4-7yr,existing_paid,other,rent,1,0
21,48,12591,quite_rich,4-7yr,paid,car,rent,1,0
47,48,4973,moderate,1-4yr,critical,business,own,1,0
54,6,3446,little,>7yr,existing_paid,car,own,1,1
40,48,8225,moderate,1-4yr,existing_paid,other,free,2,0
56,48,1026,quite_rich,1-4yr,critical,repairs,rent,1,0
62,18,3724,moderate,unemployed,delayed,furniture,rent,1,0
32,48,10945,moderate,1-4yr,no_credits,other,own,3,0
60,6,12036,little,>7yr,critical,education,own,2,0
46,12,12657,moderate,1-4yr,existing_paid,furniture,own,2,1
53,60,14047,moderate,1-4yr,existing_paid,other,rent,2,1
30,18,2375,quite_rich,1-4yr,critical,repairs,free,2,0
49,12,2263,quite_rich,4-7yr,existing_paid,car,rent,1,1
24,18,9212,quite_rich,<1yr,existing_paid,furniture,rent,3,0
68,36,6297,none,1-4yr,existing_paid,repairs,own,1,0
39,24,9708,moderate,4-7yr,existing_paid,business,own,2,1
45,36,7599,quite_rich,1-4yr,existing_paid,education,own,1,1
19,48,5609,moderate,1-4yr,critical,furniture,own,2,0
59,12,7144,quite_rich,unemployed,existing_paid,car,own,2,1
62,48,616,quite_rich,1-4yr,critical,business,own,2,1
74,24,2933,little,>7yr,existing_paid,repairs,rent,1,1
70,18,5963,moderate,<1yr,critical,education,rent,2,0
23,24,1083,none,<1yr,critical,car,own,4,0
45,6,9086,little,1-4yr,delayed,repairs,own,3,0
45,24,13875,moderate,4-7yr,existing_paid,repairs,own,1,1
61,6,4288,quite_rich,4-7yr,existing_paid,furniture,rent,1,1
61,24,11460,little,1-4yr,existing_paid,furniture,rent,4,0
37,60,4667,none,4-7yr,critical,car,free,2,0
47,6,12552,moderate,4-7yr,critical,other,own,2,1
28,12,8965,none,>7yr,existing_paid,other,own,4,1
72,48,10705,none,>7yr,existing_paid,repairs,own,3,0
45,48,14131,none,1-4yr,existing_paid,furniture,free,2,0
42,36,13125,none,1-4yr,existing_paid,education,rent,2,0
56,48,1889,none,<1yr,existing_paid,education,rent,1,0
50,18,12258,little,1-4yr,critical,repairs,own,2,0
18,60,13394,little,>7yr,critical,furniture,rent,1,0
74,24,8857,quite_rich,1-4yr,existing_paid,car,rent,1,0
44,36,10259,moderate,1-4yr,existing_paid,car,own,1,1
74,18,6654,moderate,4-7yr,existing_paid,car,own,1,1
69,18,5920,none,1-4yr,existing_paid,education,rent,2,0
30,6,9420,little,<1yr,existing_paid,furniture,own,2,0
58,48,2543,moderate,1-4yr,paid,furniture,rent,2,1
20,12,4697,none,1-4yr,critical,education,rent,1,0
56,12,3996,little,4-7yr,existing_paid,car,rent,4,1
23,36,14203,moderate,unemployed,existing_paid,car,rent,1,0
25,60,1278,moderate,1-4yr,critical,repairs,rent,3,0
44,12,713,none,1-4yr,critical,other,rent,4,0
26,24,4262,little,1-4yr,existing_paid,business,own,2,0
54,12,13899,moderate,4-7yr,existing_paid,other,own,2,1
50,36,10268,none,1-4yr,existing_paid,furniture,own,4,0
68,12,11140,moderate,1-4yr,critical,furniture,rent,1,0
59,24,7231,moderate,>7yr,critical,furniture,own,2,1
61,6,11628,rich,4-7yr,delayed,other,own,2,1
41,60,3617,little,<1yr,existing_paid,business,own,1,0
32,36,6291,quite_rich,4-7yr,critical,repairs,rent,3,0
71,6,9283,moderate,4-7yr,paid,other,rent,3,1
49,6,14121,little,4-7yr,existing_paid,business,rent,3,1
49,6,13897,none,<1yr,existing_paid,car,own,1,1
41,18,14927,moderate,>7yr,paid,car,rent,1,1
58,60,3220,little,1-4yr,existing_paid,furniture,rent,2,0
69,48,9405,little,<1yr,critical,education,own,1,0
66,60,9627,none,<1yr,critical,furniture,free,2,0
66,18,6547,quite_rich,<1yr,existing_paid,education,own,2,1
69,48,13029,quite_rich,>7yr,existing_paid,business,rent,2,1
29,60,14831,moderate,<1yr,existing_paid,car,own,2,1
56,6,8532,little,<1yr,existing_paid,other,own,2,0
19,36,501,none,>7yr,no_credits,education,rent,1,0
20,48,6868,moderate,1-4yr,critical,business,own,1,0
66,24,11540,little,unemployed,existing_paid,car,own,2,0
54,24,14556,none,<1yr,existing_paid,other,free,2,0
66,12,12736,moderate,<1yr,no_credits,education,own,3,0
73,48,2449,rich,1-4yr,critical,furniture,rent,3,0
34,36,7232,moderate,4-7yr,critical,furniture,own,4,1
66,18,14951,moderate,<1yr,critical,furniture,free,1,0
19,6,8333,rich,<1yr,critical,business,free,1,0
19,12,1417,little,4-7yr,existing_paid,furniture,own,1,1
45,24,3674,moderate,4-7yr,existing_paid,repairs,free,2,1
71,18,10933,rich,1-4yr,delayed,car,rent,2,0
40,18,7514,none,1-4yr,existing_paid,business,rent,3,0
54,6,589,moderate,1-4yr,existing_paid,other,rent,2,1
49,48,2209,moderate,1-4yr,no_credits,furniture,rent,4,0
50,24,10861,moderate,1-4yr,paid,car,own,4,0
18,36,12930,moderate,1-4yr,existing_paid,education,own,1,1
36,18,3541,rich,>7yr,existing_paid,furniture,rent,2,1
19,6,605,quite_rich,unemployed,critical,car,own,2,0
70,36,9578,none,4-7yr,existing_paid,repairs,own,1,1
61,48,9119,quite_rich,<1yr,existing_paid,education,own,2,1
43,24,14116,little,4-7yr,existing_paid,repairs,own,2,1
49,48,2395,little,4-7yr,existing_paid,other,own,1,1
23,18,6590,little,>7yr,existing_paid,car,rent,2,0
49,36,9008,little,<1yr,existing_paid,repairs,own,2,0
72,36,6582,little,4-7yr,existing_paid,other,own,1,0
21,36,1134,rich,1-4yr,existing_paid,car,rent,2,1
72,18,2425,moderate,4-7yr,existing_paid,car,rent,1,1
28,18,2556,moderate,1-4yr,paid,repairs,own,2,1
73,48,7417,none,1-4yr,paid,car,own,1,1
34,12,3644,rich,1-4yr,existing_paid,furniture,rent,3,1
55,48,10962,rich,1-4yr,paid,car,rent,2,0
41,24,10131,quite_rich,1-4yr,delayed,business,rent,1,0
22,6,1052,none,<1yr,existing_paid,other,rent,2,0
69,36,9407,none,>7yr,existing_paid,car,rent,2,0
51,12,5883,little,4-7yr,existing_paid,business,own,2,0
23,6,4411,none,>7yr,delayed,car,rent,2,0
39,12,10405,little,1-4yr,critical,car,own,2,0
28,60,14671,rich,>7yr,critical,repairs,rent,1,0
65,48,3889,little,>7yr,critical,furniture,free,1,0
33,18,9799,none,4-7yr,existing_paid,other,own,2,1
50,36,14129,little,4-7yr,delayed,furniture,own,2,0
26,48,12898,none,1-4yr,existing_paid,education,own,1,0
23,6,8942,none,>7yr,existing_paid,repairs,own,3,0
33,60,2930,little,1-4yr,existing_paid,repairs,free,1,1
46,60,10746,little,<1yr,existing_paid,furniture,own,3,0
20,60,958,quite_rich,1-4yr,critical,repairs,rent,1,0
37,6,13895,rich,>7yr,existing_paid,furniture,own,1,1
53,6,707,little,>7yr,critical,repairs,rent,4,0
36,6,1399,little,>7yr,existing_paid,car,rent,1,1
43,6,12153,quite_rich,4-7yr,existing_paid,furniture,rent,3,1
20,60,12077,little,1-4yr,existing_paid,furniture,own,1,0
36,60,521,none,<1yr,existing_paid,business,rent,2,1
37,12,9101,quite_rich,<1yr,critical,repairs,own,3,1
49,48,1394,none,unemployed,existing_paid,repairs,own,1,0
24,36,1014,moderate,1-4yr,existing_paid,furniture,own,3,1
69,18,7794,moderate,<1yr,critical,car,own,2,0
58,60,5404,little,1-4yr,existing_paid,car,rent,2,0
50,18,8367,little,>7yr,critical,other,own,2,0
57,48,13661,quite_rich,1-4yr,existing_paid,car,rent,3,0
56,48,4609,none,>7yr,existing_paid,repairs,rent,1,1
35,18,13758,little,4-7yr,existing_paid,business,own,1,1
57,60,7679,moderate,1-4yr,existing_paid,furniture,free,3,0
18,18,10826,moderate,1-4yr,existing_paid,education,own,3,1
28,12,12287,none,<1yr,delayed,business,own,1,0
45,24,11648,quite_rich,1-4yr,critical,education,own,2,0
74,60,2060,little,4-7yr,critical,business,rent,2,0
42,60,14112,quite_rich,<1yr,existing_paid,car,rent,2,1
67,36,1766,quite_rich,1-4yr,existing_paid,repairs,own,1,1
40,6,10861,moderate,1-4yr,existing_paid,education,own,2,1
48,24,4138,little,>7yr,paid,business,rent,1,1
47,48,9441,rich,4-7yr,delayed,repairs,own,3,0
59,60,3927,none,4-7yr,existing_paid,education,rent,3,1
52,18,5280,moderate,<1yr,paid,furniture,free,2,1
24,24,2427,none,4-7yr,no_credits,business,own,1,0
33,36,12496,little,4-7yr,critical,furniture,rent,1,0
43,48,12394,little,4-7yr,no_credits,car,own,2,0
65,6,2856,rich,>7yr,existing_paid,furniture,rent,2,1
74,6,5290,rich,1-4yr,existing_paid,furniture,rent,1,1
69,36,11027,none,>7yr,existing_paid,other,own,2,1
66,36,806,none,>7yr,existing_paid,business,own,1,1
19,18,8479,moderate,unemployed,existing_paid,car,rent,1,0
18,60,4165,little,1-4yr,critical,furniture,rent,1,0
65,6,10681,none,>7yr,existing_paid,repairs,own,1,1
29,48,7557,moderate,<1yr,delayed,education,rent,1,0
22,24,1161,moderate,1-4yr,critical,furniture,own,2,0
54,48,5144,rich,>7yr,critical,car,own,3,1
49,12,9003,little,4-7yr,existing_paid,furniture,rent,3,1
72,12,3420,little,<1yr,existing_paid,education,own,1,0
26,36,9774,moderate,4-7yr,existing_paid,car,rent,1,1
58,18,11663,quite_rich,1-4yr,delayed,business,own,1,0
52,12,14525,moderate,1-4yr,existing_paid,car,free,1,1
36,6,9446,moderate,<1yr,delayed,business,own,2,0
65,48,12822,little,4-7yr,no_credits,car,own,2,0
33,48,13232,quite_rich,1-4yr,existing_paid,education,rent,1,0
20,36,6736,little,4-7yr,existing_paid,education,own,1,1
37,60,6578,none,4-7yr,existing_paid,car,own,1,0
41,60,14018,moderate,1-4yr,existing_paid,furniture,own,1,1
71,24,852,little,4-7yr,existing_paid,education,own,2,1
73,36,9594,none,<1yr,existing_paid,business,rent,1,0
50,24,14143,quite_rich,4-7yr,existing_paid,business,own,2,1
41,60,12580,little,<1yr,existing_paid,repairs,free,2,0
69,36,7505,moderate,>7yr,existing_paid,other,own,3,1
28,36,14536,little,<1yr,existing_paid,other,own,3,0
66,36,658,quite_rich,1-4yr,delayed,other,own,2,0
25,60,10669,none,4-7yr,critical,business,own,1,0
53,24,1456,little,1-4yr,critical,repairs,own,2,0
55,24,2571,rich,<1yr,existing_paid,other,rent,3,1
57,36,9095,quite_rich,4-7yr,existing_paid,other,rent,1,0
37,12,13303,little,4-7yr,paid,car,own,2,1
52,18,11471,little,4-7yr,existing_paid,car,own,3,1
65,60,10079,quite_rich,1-4yr,existing_paid,car,own,2,0
42,18,3953,moderate,4-7yr,critical,furniture,own,1,1
52,18,7175,quite_rich,1-4yr,existing_paid,other,own,1,1
42,24,1455,quite_rich,4-7yr,existing_paid,furniture,own,2,1
46,24,6795,none,4-7yr,critical,repairs,own,1,0
35,12,2212,none,1-4yr,critical,business,own,2,0
63,18,5203,moderate,1-4yr,critical,other,own,2,0
35,18,7063,none,unemployed,no_credits,business,own,1,0
19,36,9965,little,<1yr,no_credits,car,own,3,0
71,24,6131,rich,<1yr,existing_paid,other,own,2,1
52,18,12503,moderate,1-4yr,existing_paid,education,own,1,1
33,48,11317,quite_rich,4-7yr,no_credits,furniture,own,3,1
58,12,11074,moderate,1-4yr,existing_paid,furniture,own,3,1
53,48,10133,moderate,>7yr,critical,other,own,2,1
50,48,11671,none,unemployed,existing_paid,car,own,3,0
21,60,10489,little,4-7yr,delayed,furniture,own,2,0
50,60,13082,little,4-7yr,delayed,car,own,3,1
31,12,12701,little,1-4yr,existing_paid,repairs,own,2,1
38,48,13542,quite_rich,<1yr,delayed,business,rent,2,0
65,18,1894,little,4-7yr,existing_paid,education,own,4,1
37,24,12973,little,1-4yr,existing_paid,business,own,2,0
73,12,9961,little,>7yr,delayed,business,rent,1,0
25,36,5232,none,1-4yr,existing_paid,repairs,own,2,0
24,48,14079,little,>7yr,critical,furniture,own,2,0
20,12,4214,none,1-4yr,existing_paid,education,rent,1,0
34,6,1029,none,4-7yr,existing_paid,furniture,rent,4,1
50,6,12315,none,4-7yr,existing_paid,other,own,1,1
65,60,14856,little,4-7yr,existing_paid,business,own,1,0
29,24,3458,quite_rich,1-4yr,no_credits,other,own,4,0
68,18,8404,little,4-7yr,delayed,car,own,2,1
39,24,11606,little,1-4yr,critical,business,free,1,0
72,24,13581,moderate,4-7yr,critical,furniture,own,2,1
39,24,4091,none,1-4yr,existing_paid,business,own,2,0
63,24,10839,quite_rich,>7yr,critical,car,rent,1,0
47,36,7395,moderate,<1yr,delayed,repairs,rent,4,0
55,36,13265,little,>7yr,critical,other,own,2,0
55,60,14410,moderate,>7yr,existing_paid,other,free,2,1
62,12,12061,none,>7yr,delayed,furniture,own,2,0
68,6,9631,moderate,1-4yr,critical,business,rent,2,1
71,24,1025,little,1-4yr,existing_paid,furniture,own,1,1
25,60,6977,quite_rich,>7yr,critical,repairs,own,1,0
44,12,501,none,1-4yr,existing_paid,business,own,2,1
44,6,874,moderate,1-4yr,existing_paid,business,own,3,1
51,48,11032,moderate,4-7yr,no_credits,furniture,own,1,1
38,18,12697,none,4-7yr,existing_paid,furniture,rent,2,1
47,36,11744,little,1-4yr,existing_paid,car,rent,3,0
50,48,5148,moderate,4-7yr,critical,repairs,own,1,1
45,6,2865,quite_rich,>7yr,existing_paid,car,own,1,1
64,48,2025,little,<1yr,critical,other,own,1,0
50,18,14639,quite_rich,>7yr,critical,business,rent,2,1
22,60,13168,rich,unemployed,existing_paid,furniture,rent,1,0
65,6,2146,quite_rich,1-4yr,critical,business,rent,2,1
36,48,513,none,unemployed,critical,business,rent,2,0
21,36,5099,moderate,<1yr,critical,education,own,2,0
52,36,2778,little,>7yr,critical,other,own,1,1
66,12,14796,rich,1-4yr,critical,education,free,2,1
34,48,3655,little,1-4yr,existing_paid,business,rent,3,0
61,24,8821,none,1-4yr,existing_paid,furniture,own,4,0
45,48,4314,moderate,4-7yr,critical,business,own,3,1
47,60,13625,little,4-7yr,existing_paid,other,rent,2,0
46,6,3716,rich,1-4yr,existing_paid,education,own,2,1
63,6,11630,rich,1-4yr,existing_paid,furniture,own,1,1
70,60,12620,moderate,>7yr,critical,business,rent,1,0
23,48,10732,none,1-4yr,paid,repairs,own,1,1
52,60,8719,moderate,1-4yr,critical,other,own,2,0
58,18,2613,none,1-4yr,existing_paid,other,rent,1,1
54,60,9944,none,4-7yr,existing_paid,repairs,free,1,0
41,36,4856,quite_rich,1-4yr,existing_paid,business,rent,4,1
46,60,10738,little,1-4yr,paid,other,own,1,0
66,6,14260,little,1-4yr,delayed,furniture,own,1,1
63,36,6043,rich,>7yr,critical,business,rent,1,0
70,6,5055,little,1-4yr,critical,business,own,2,0
48,12,12715,little,4-7yr,existing_paid,education,own,2,1
52,24,13088,rich,1-4yr,existing_paid,other,rent,1,0
50,6,7562,none,1-4yr,critical,other,own,2,0
69,36,3874,quite_rich,4-7yr,critical,repairs,own,3,1
38,12,6930,rich,1-4yr,existing_paid,education,own,3,1
49,6,3966,rich,>7yr,existing_paid,education,own,4,1
40,18,3581,moderate,>7yr,existing_paid,other,own,3,1
50,60,12470,little,>7yr,critical,business,own,2,0
20,24,1129,little,unemployed,delayed,education,rent,1,0
35,6,769,quite_rich,4-7yr,existing_paid,repairs,rent,1,1
42,12,11331,quite_rich,1-4yr,existing_paid,education,own,1,1
59,18,10685,moderate,>7yr,critical,repairs,own,2,1
48,48,6224,little,4-7yr,no_credits,education,own,3,1
71,12,6397,none,>7yr,existing_paid,repairs,own,2,1
20,60,11583,none,1-4yr,existing_paid,education,rent,1,0
57,12,13649,moderate,1-4yr,existing_paid,education,rent,2,1
63,18,3932,little,<1yr,existing_paid,furniture,rent,4,0
41,12,9972,rich,4-7yr,critical,repairs,own,2,1
67,18,6776,moderate,1-4yr,critical,repairs,own,3,1
49,6,6395,none,1-4yr,critical,repairs,own,3,1
64,18,14494,moderate,4-7yr,critical,car,own,4,1
39,18,7615,little,4-7yr,existing_paid,education,free,3,1
40,24,7156,moderate,1-4yr,critical,repairs,rent,2,0
19,18,11052,moderate,4-7yr,existing_paid,other,own,1,1
44,18,1075,quite_rich,1-4yr,delayed,car,rent,1,0
59,48,7529,quite_rich,1-4yr,critical,furniture,own,2,0
19,6,6599,little,unemployed,existing_paid,repairs,own,1,0
43,60,9999,none,1-4yr,existing_paid,repairs,free,4,0
34,24,3692,moderate,1-4yr,existing_paid,car,own,1,1
57,48,3678,none,4-7yr,existing_paid,education,own,3,1
50,36,6552,little,unemployed,paid,other,free,1,0
26,6,3234,none,1-4yr,critical,furniture,rent,1,0
60,6,6616,moderate,>7yr,critical,repairs,own,4,1
71,36,10904,none,<1yr,existing_paid,education,own,1,0
65,60,11044,moderate,1-4yr,paid,other,rent,1,0
56,18,4068,rich,4-7yr,paid,other,rent,1,1
46,48,10347,none,>7yr,critical,furniture,rent,2,0
59,12,10271,none,4-7yr,existing_paid,business,own,1,1
72,24,14635,little,4-7yr,existing_paid,other,rent,2,0
43,12,2703,quite_rich,>7yr,existing_paid,business,own,2,1
52,36,1890,little,1-4yr,existing_paid,other,free,2,0
67,6,2242,little,>7yr,existing_paid,furniture,own,2,1
42,60,2425,none,unemployed,critical,car,free,2,0
41,6,1119,quite_rich,>7yr,existing_paid,furniture,own,1,1
30,24,1774,little,1-4yr,delayed,furniture,own,3,0
24,6,1456,quite_rich,4-7yr,existing_paid,car,own,1,1
74,6,2439,rich,1-4yr,critical,car,own,2,1
53,24,4453,little,4-7yr,delayed,education,free,2,0
62,48,11073,quite_rich,<1yr,existing_paid,other,rent,3,0
